title,url,views,upload_date,duration,thumbnail_url,views_count
"Destroying a $5,000,000 HOLLYWOOD Movie as a FAKE ACTOR! (MUST WATCH)",https://www.youtube.com/watch?v=3eE5ttdybR4,240k,4 days ago,21:50,https://i.ytimg.com/vi/3eE5ttdybR4/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDCslL-3nclHJ1iAgkT8XlBhmVEFQ,240000
BRUTAL Bathroom Prank GONE WRONG! (MUST WATCH),https://www.youtube.com/watch?v=qMGOe0LhFn4,394k,2 weeks ago,15:54,https://i.ytimg.com/vi/qMGOe0LhFn4/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLA3YA66r9voxPo5SeI7LueWv2pW5A,394000
Pro Racer Takes HOME DEPOT Workers to Street Drifting! (MUST WATCH),https://www.youtube.com/watch?v=zOSOycX9Kcc,1.3m,3 weeks ago,11:33,https://i.ytimg.com/vi/zOSOycX9Kcc/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDFFN6XrWT2E9-OZ8TGMyI82PVCXA,13000000
Challenging US Navy Seals!,https://www.youtube.com/watch?v=Pbp4EU4O-3A,179k,1 month ago,12:38,https://i.ytimg.com/vi/Pbp4EU4O-3A/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBvgUIgT2V9bbGUJuqIwHoqY8iIsQ,179000
Aggressively BLOWING Up All the THUGS in the Hood!,https://www.youtube.com/watch?v=snBaHkQ8_TI,679k,2 months ago,12:17,https://i.ytimg.com/vi/snBaHkQ8_TI/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCK_nUP0L5huE5LugX19De1QD-LKQ,679000
Most Dangerous Hood Pranks on THUGS & CRIMINALS!,https://www.youtube.com/watch?v=AXfnskilBH0,717k,2 months ago,39:50,https://i.ytimg.com/vi/AXfnskilBH0/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDQsQM-WeXXlL81w8yziNPmj9fwvA,717000
