title,url,views,upload_date,duration,thumbnail_url,views_count
I PRANKED a Hollywood Movie Set and RUINED My Career!! (BANNED & BLACKLISTED),,157k,1 day ago,,https://i.ytimg.com/vi/3eE5ttdybR4/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDCslL-3nclHJ1iAgkT8XlBhmVEFQ,157000
BRUTAL Bathroom Prank GONE WRONG! (MUST WATCH),,376k,2 weeks ago,,https://i.ytimg.com/vi/qMGOe0LhFn4/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLA3YA66r9voxPo5SeI7LueWv2pW5A,376000
PRO Driver Shocks Latinos With GODLY DRIFTING SKILLS! (GOT ARRESTED),,1.3m,3 weeks ago,,https://i.ytimg.com/vi/zOSOycX9Kcc/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDFFN6XrWT2E9-OZ8TGMyI82PVCXA,13000000
We Challenged the US Navy SEALs… and Instantly Regretted it!,,176k,1 month ago,,https://i.ytimg.com/vi/Pbp4EU4O-3A/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBvgUIgT2V9bbGUJuqIwHoqY8iIsQ,176000
Blowing Up GANG MEMBERS in the Wrong Hood! (MUST WATCH),,673k,2 months ago,,https://i.ytimg.com/vi/snBaHkQ8_TI/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCK_nUP0L5huE5LugX19De1QD-LKQ,673000
Most Dangerous Hood Pranks on THUGS & CRIMINALS!,,708k,2 months ago,,https://i.ytimg.com/vi/AXfnskilBH0/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDQsQM-WeXXlL81w8yziNPmj9fwvA,708000
